DIST_NUM,GLOBALID,SHAPE_Length,SHAPE_Area
6,{97B6F897-5089-4C86-B237-4AE5C82AF0A9},0.159843755,0.001125817
1,{71805C39-C6D8-4375-A7C1-0B1DCDA828B4},0.379425077,0.004253437
7,{41BD5BF3-33EE-4B52-B122-790AB182EF16},0.494029404,0.009890853
4,{6B3271A5-30B0-42D0-8230-DED4EB920F97},0.745553652,0.005468359
3,{3A766C3D-7C27-4422-BF8E-05F3DA47121A},0.996034965,0.009226999
5,{1E3D6755-F1AD-466E-B788-8008E0156562},0.633701119,0.00739219
2,{3A8DA7F9-9945-4EFA-A63E-74E038A01151},0.329429678,0.004675464
